SESDATE,APPTIME,SLOT,DC
20230726,1305,1,DURHAM
20230720,1550,1,DURHAM
20230927,1550,1,DURHAM
20230720,1550,2,DURHAM
20230803,1330,1,DURHAM
20230724,1400,1,DURHAM
20230706,1725,1,DURHAM
20230729,1415,1,DURHAM
20230805,1550,1,DURHAM
20230817,1125,1,DURHAM
20230921,1600,1,DURHAM
20230916,1505,1,DURHAM
20230809,1550,1,DURHAM
20230822,1810,1,DURHAM
20230930,1105,1,DURHAM
20230804,1515,1,DURHAM
20230913,1745,1,DURHAM
20230929,1510,1,DURHAM
20230916,825,1,DURHAM
20230712,1200,1,DURHAM
20230801,1125,1,DURHAM
20230922,1130,1,DURHAM
20230708,920,1,DURHAM
20230920,1700,1,DURHAM
20230810,1235,1,DURHAM
20230909,900,1,DURHAM
20230714,1255,1,DURHAM
20230920,1215,1,DURHAM
20230923,1430,1,DURHAM
20230912,1340,1,DURHAM
20230720,1305,1,DURHAM
20230906,1145,1,DURHAM
20230811,1125,1,DURHAM
20230728,1055,1,DURHAM
20230728,1435,1,DURHAM
20230715,1030,1,DURHAM
20230830,1330,1,DURHAM
20230913,1625,1,DURHAM
20230920,1610,1,DURHAM
20230825,900,1,DURHAM
20230923,1300,1,DURHAM
20230707,850,1,DURHAM
20230830,1750,1,DURHAM
20230929,1305,1,DURHAM
20230922,1500,1,DURHAM
20230707,1515,1,DURHAM
20230724,1130,1,DURHAM
20230902,1400,1,DURHAM
20230926,1835,1,DURHAM
20230905,1130,1,DURHAM
20230920,1640,1,DURHAM
20230811,1355,1,DURHAM
20230724,1250,1,DURHAM
20230825,1415,1,DURHAM
20230708,1430,2,DURHAM
20230908,940,1,DURHAM
20230912,1110,1,DURHAM
20230725,1650,1,DURHAM
20230725,1700,1,DURHAM
20230724,1025,1,DURHAM
20230822,1745,1,DURHAM
20230909,915,1,DURHAM
20230714,1105,1,DURHAM
20230714,1130,1,DURHAM
20230705,1205,2,DURHAM
20230727,1545,2,DURHAM
20230914,1355,1,DURHAM
20230929,1420,1,DURHAM
20230825,915,1,DURHAM
20230724,1005,1,DURHAM
20230915,845,1,DURHAM
20230724,1105,1,DURHAM
20230927,1300,1,DURHAM
20230809,1110,1,DURHAM
20230728,830,1,DURHAM
20230812,1350,1,DURHAM
20230908,825,1,DURHAM
20230815,1240,1,DURHAM
20230805,905,1,DURHAM
20230705,1100,1,DURHAM
20230816,1330,1,DURHAM
20230921,1330,1,DURHAM
